Day	Date 	  Open   	  High   	  Low   	  Close   
Friday	1-Dec-00	" 1,268.10 "	" 1,280.50 "	" 1,255.20 "	" 1,276.20 "
Monday	4-Dec-00	" 1,276.25 "	" 1,290.00 "	" 1,273.65 "	" 1,275.60 "
Tuesday	5-Dec-00	" 1,275.70 "	" 1,288.20 "	" 1,275.50 "	" 1,284.65 "
Wednesday	6-Dec-00	" 1,284.85 "	" 1,319.85 "	" 1,284.85 "	" 1,298.55 "
Thursday	7-Dec-00	" 1,298.90 "	" 1,308.45 "	" 1,295.10 "	" 1,302.50 "
Friday	8-Dec-00	" 1,303.30 "	" 1,317.20 "	" 1,303.30 "	" 1,313.70 "
Monday	11-Dec-00	" 1,313.70 "	" 1,333.50 "	" 1,313.70 "	" 1,332.15 "
Tuesday	12-Dec-00	" 1,332.20 "	" 1,341.75 "	" 1,327.60 "	" 1,333.35 "
Wednesday	13-Dec-00	" 1,333.80 "	" 1,360.80 "	" 1,333.80 "	" 1,354.30 "
Thursday	14-Dec-00	" 1,354.45 "	" 1,369.50 "	" 1,346.15 "	" 1,349.35 "
Friday	15-Dec-00	" 1,349.25 "	" 1,349.25 "	" 1,308.15 "	" 1,312.60 "
Monday	18-Dec-00	" 1,310.15 "	" 1,321.65 "	" 1,297.20 "	" 1,317.60 "
Tuesday	19-Dec-00	" 1,317.75 "	" 1,325.60 "	" 1,307.00 "	" 1,310.50 "
Wednesday	20-Dec-00	" 1,312.80 "	" 1,313.40 "	" 1,285.45 "	" 1,295.25 "
Thursday	21-Dec-00	" 1,294.25 "	" 1,294.25 "	" 1,257.10 "	" 1,277.40 "
Friday	22-Dec-00	" 1,278.95 "	" 1,292.80 "	" 1,237.30 "	" 1,242.00 "
Tuesday	26-Dec-00	" 1,242.05 "	" 1,248.50 "	" 1,207.95 "	" 1,212.00 "
Wednesday	27-Dec-00	" 1,212.15 "	" 1,239.00 "	" 1,208.75 "	" 1,228.30 "
Thursday	28-Dec-00	" 1,229.35 "	" 1,253.60 "	" 1,229.35 "	" 1,248.95 "
Friday	29-Dec-00	" 1,249.00 "	" 1,265.90 "	" 1,242.25 "	" 1,263.55 "
